OTU ID	ERR6229432	ERR6230245	ERR6230278	ERR6230326	ERR6230340	ERR6231475	ERR6231548	ERR6231616	ERR6232382	ERR6232425	ERR6232458	ERR6232518	ERR6232521	ERR6232522	ERR6232523	ERR6232524	ERR6232525	ERR6232526	ERR6232527	ERR6232528	ERR6232529	ERR6232686	ERR6232687	ERR6232688	ERR6233692	ERR6233693	ERR6233694	ERR6233695	ERR6235716	ERR6235717	ERR6235718	ERR6236131	ERR6239138	ERR6239139	ERR6243877	ERR6243878	ERR6243879	ERR6243880	ERR6248618	ERR6254869	ERR6254870	ERR6254871	ERR6257997	ERR6264280	ERR6264281	ERR6267711	ERR6267712	ERR6271719	ERR6271720	ERR6271721	ERR6273965	ERR6275652	ERR6275659	ERR6275661	ERR6275663	ERR6275664	ERR6275665	ERR6275666	ERR6275667	ERR6275668	ERR6275669	ERR6275670	ERR6275671	ERR6275672	ERR6275673	ERR6275674	ERR6275675	ERR6275676	ERR6275677	ERR6275678	ERR6275679	ERR6275680	ERR6275681	ERR6275682	ERR6275683	ERR6275684	ERR6279614	ERR6279615	ERR6279616	ERR6279618	ERR6279619	ERR6279620	ERR6279621	ERR6279622	ERR6279623	ERR6279624	ERR6279625	ERR6279626	ERR6279627	ERR6279628	ERR6279629	ERR6279644	ERR6279645	ERR6279646	ERR6279647	ERR6279648	ERR6279649	ERR6279650	ERR6279651	ERR6279652	ERR6279653	ERR6279654	ERR6279655	ERR6279656	ERR6279657	ERR6279658	ERR6279659	ERR6279660	ERR6279661	ERR6279662	ERR6279663	ERR6279664	ERR6279665	ERR6279666	ERR6279667	ERR6279668	ERR6279669	ERR6279670	ERR6279671	ERR6279672	ERR6279673	ERR6279674	ERR6279675	ERR6279676	ERR6279677	ERR6279678	ERR6279679	ERR6279680	ERR6279681	ERR6279682	ERR6279683	ERR6280899	ERR6280907	ERR6280910	ERR6280948	ERR6281000	ERR6281340	ERR6281341	ERR6281342	ERR6281343	ERR6281344	ERR6281431	ERR6281432	ERR6281433	ERR6281434	ERR6281448	ERR6281499	ERR6281500	ERR6281504	ERR6281505	ERR6281518	ERR6281586	ERR6281658	ERR6281677	ERR6281751	ERR6281939	ERR6281941	ERR6281942	ERR6281944	ERR6281997	ERR6282070	ERR6282137	ERR6282298	ERR6282383
semibin_SRR23364221.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20954564295855405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR23364216.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2769990929456109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR23364212.64	0.0	0.0	0.0	0.0	0.0	0.49349480069402246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10295060463049212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2258720092493727	0.0	0.0	0.5176609846628062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02284234825846152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR23364208.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6078217994571739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8601496050470846	0.0	0.0
semibin_SRR23364207.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1087092565328684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023681884805014052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08242563736979942	0.0	0.036989886797186074
semibin_SRR23364206.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23423865681826914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24899606113285289	0.0	0.0	0.0	0.5698572200917005	0.0	0.0	0.4129287898837567	0.5113826998805271	0.0	0.35115480955775036	0.0	0.0	0.0	0.0	0.0	0.0	0.19555034042319877	0.0	0.0	0.0	0.15154220662191972	0.0	0.0	0.0	0.0	0.0	0.0	0.2235404548610983	0.0	0.07958515394504453	0.0	0.0	0.0	0.2703659281904466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40935161785512103	0.0	0.0	0.0	0.12145839172069964	0.0	0.4614611492980963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2155135022558746	0.0	0.0	0.0	0.18364858036088247	0.0	0.42934662377307536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28022678744843793	0.0	0.0	0.05827040104775132	0.0	0.0	0.0	0.6017062055835791	0.0	0.15081396203751646	0.08534644911654818	0.0	0.0	0.22438430002218715	0.0	0.026437864249937305	0.08378301363779375	0.0	0.0	0.0	0.0	0.0	0.13334874452002515	0.11219655363232599	0.0	0.0	0.0	0.09398656794160645	0.0	0.0	0.18858417628346946	0.12840009516917034	0.0	0.0	0.0	0.0	0.2484716772460061	0.0	0.0	0.3867741530358569	0.0	0.0	0.0	0.0	0.0	0.6095472933784105	0.0	0.0	0.0	0.20525317238516266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19335073038150635
semibin_SRR23364206.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.063798454759142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3136938343299374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4179059827833708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23122386608461673	0.0	0.0	0.0	0.0	0.0	0.0	1.7896599131960857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2901684880928079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR23364202.113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4831190733644642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR23364199.80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6058019992364785	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR23364199.62	0.0	0.0	0.36329713715542195	0.0	0.0	0.0	0.0	0.2078830191737485	0.1800448250723058	0.0	0.41008453873022943	0.36515431260118325	0.0	0.0	0.0	0.0	0.0	0.0	1.2644784758619831	0.5930606433846374	0.0	0.30286449497605183	0.0	0.19248250008550444	0.0	0.24510424577829848	0.0	0.27887095252704563	0.6408792641929413	0.0	0.0	0.0	0.5628279099824209	0.0	0.4277768077124691	0.6763693289210284	0.0	0.2234661410808576	0.0	0.7712564147193032	0.0	0.0	0.0	0.0	0.12654140966277022	0.786877954327161	0.27900493496914086	0.4308615118847404	0.826103567633207	0.0	0.3916504904613189	0.0	0.0	0.7467699778006052	0.0	0.0	0.0	0.0	0.0	0.0	0.39198332119797424	0.34540579357109585	0.33676272120500883	0.0	0.0	0.4712340734117895	0.0	0.0	0.6452983045932009	0.0	0.49226270496134145	0.18117785827452607	0.0	0.4444262289327491	0.21347876576998367	0.0	0.44656058014781136	0.5925121763214737	0.0	0.18845655088182794	0.37749236723052	0.0	0.9146275927998642	0.24208795082178938	0.34949767950622745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7189267429903292	0.23325914878556667	0.0	0.0	0.0	0.0	0.6270279916081245	0.15625671082585374	0.0	0.22861573067376623	0.431185579580305	0.02792940717111544	0.0	0.34420563263524184	0.0	0.36861659146172054	0.3736352655394897	0.0	0.0	0.0	0.12725085507287265	0.0	0.0	0.14457757196333249	0.24457649548804586	0.5698031406720919	0.213762088074556	0.3833972659643603	0.21959788711390887	0.0	0.22284686678426285	0.19245553230555404	0.5789641522649086	0.4050375849434331	0.0	0.06509694484176852	0.0	0.3703851871240905	0.147444430263968	0.37846085420830444	0.2002074362479318	0.0	0.0	0.0	0.0	0.0	0.0694552506209923	0.0	0.0	0.0	0.0	0.06930406474633237	0.0	0.0	0.35211274782287943	0.0	0.5231874900580983	0.061028649313807685	0.0	0.0	0.0	0.10835310120480933	0.0	0.0	0.04754291397128488	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR23364199.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27561984291243913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR23364199.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4813043715234899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12827480477492897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07617353858684997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3494155864225252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR23364199.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04118623098495237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0198155177151904	0.0	0.0	0.0	0.1475322258934607	0.0	0.09660929010111564	0.0	0.0	0.0	0.0	0.12068799768354461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08460799150866312	0.0	0.1162649996672667	0.2758803246661901	0.0	0.0454074753717162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13325091200097514	0.0	0.0	0.16741661910663527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10649679951539136	0.36734109768101386	0.0	0.0	0.9574039158971784	0.0	0.22255225468306503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR23364199.26	0.0	0.0	0.0	0.18085682451633295	0.1891637852848245	0.20951560697553456	1.0148646485501587	0.0	0.26938405626407375	0.0	0.0	0.0	0.0	0.0	0.0	0.11867601678926061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08904162874494718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15690057806572863	0.0	0.0	0.20907475807423795	0.0	0.0	0.0	0.09729692767253403	0.0	0.0	0.0	0.0	0.0	0.10369246889961299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07804360316253259	0.45771099987392755	0.0	0.0	0.0	0.0	0.0	0.41629766160683845	0.21367973523004324	0.0	0.0	0.0	0.12752599228652275	0.0	0.38541970088622757	0.0	0.0	0.0	0.0	0.4141572822785084	0.0	0.0	0.0	0.0	0.3293931222054267	0.0	0.0	0.0	0.0	0.0	0.0	0.5901940835158038	0.0	0.0	0.0	0.19972044369869468	0.17351680038042525	0.0	0.0	0.0	0.0	0.21975937641689758	0.09508665227663574	0.04448463542099998	0.1345091864052632	0.0	0.0	0.24383234967594833	0.0	0.0	0.12673953416497827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14140483769409326	0.24328723704340535	0.050921135997508776	0.0	0.3170604056037902	0.0	0.0	0.0	0.2008658854794683	0.0	0.0	0.06079254134839642	0.21649246836748137	0.0	0.14349751483508202	0.0	0.0	0.0	0.0	0.09970733030967346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19100013527060664	0.17835947339461844	0.0	0.28525320519069597	0.6128695680080447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046551520496440665	0.0	0.0	0.0	0.0	0.0	0.05379904716628655
semibin_SRR23364198.20	0.1823586604474774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04293089647174371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5893517244768521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08355727682139519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24921639524328482	0.0	0.0
semibin_SRR23364197.17_sub	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09986941888770365	0.0	0.05997009961789323
semibin_SRR23364196.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047928827807713965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07319878298340302	0.2919246886700662	0.0	0.025488701210616718	0.0	0.0	0.0	0.0	0.0	0.0	0.42957552439739827	0.0	0.0	0.9212671351225318	0.0	0.0	0.0	0.0	0.37381773705394983	0.28559979908964045	0.0	0.0	0.0	0.3641750125995955	1.4700596297318183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3451775668128909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03773129786671944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0832752283164668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06084644653599612	0.0	0.0	0.0	0.0	0.0	0.7276079861691074	0.19571500017731783	0.0	0.0	0.0	0.0	0.0	0.11232012853546679
