featureid	Intercept	response[T.R]
semibin_SRR8387712.8_sub	-0.499142677140491	-0.494565704406898
semibin_SRR8387712.33	0.720568030523999	1.40516855424484
semibin_SRR8387712.32	0.667772620367749	0.884065291343529
semibin_SRR8387707.23	0.540090172934277	-0.163255730213325
semibin_SRR8387707.12	0.329822390722974	-0.206914463581245
semibin_SRR8387691.37	-0.353248313617961	-0.112876990379494
semibin_SRR8387683.9	0.688220589804394	1.39509250825484
semibin_SRR8387683.84	0.82927927319978	1.64566662019332
semibin_SRR8387683.51	0.70794400517915	0.831048151908715
semibin_SRR8387683.34_sub	0.25014737193559	0.280763587413628
semibin_SRR8387683.30	0.0913819367167785	0.471977016387779
semibin_SRR8387683.16	0.322465747046216	0.432565590797264
semibin_SRR8387681.97	-0.353248313617961	-0.112876990379494
semibin_SRR8387681.35_sub	-0.353248313617961	-0.112876990379494
semibin_SRR8387681.3	-0.189818084788577	0.0932042807920763
semibin_SRR8387679.0	-0.353248313617961	-0.112876990379494
semibin_SRR8387677.66	2.50696942155336	-0.643971839489143
semibin_SRR8387677.38	0.699344247030957	-0.279423126520317
semibin_SRR8387677.31	0.625403969931348	-0.263628521503609
semibin_SRR8387676.49	2.59861108605836	-0.961068341077965
semibin_SRR8387659.60	-0.353248313617961	-0.112876990379494
semibin_SRR6000947.67	-0.116571724963443	0.18823232358535
semibin_SRR6000945.4	0.37027379815553	-0.0933711915628126
semibin_SRR6000944.44	-0.353248313617961	-0.112876990379494
semibin_SRR6000944.13	-0.353248313617961	-0.112876990379494
semibin_SRR6000920.93	-0.353248313617961	-0.112876990379494
semibin_SRR6000920.16	-0.0336526637795136	-0.151155659498375
semibin_SRR6000905.60_sub	-0.122432649684207	-0.138605722726982
semibin_SRR6000905.32	-0.353248313617961	-0.112876990379494
semibin_SRR6000903.16	-0.105135381770389	0.204153916297753
semibin_SRR6000902.21	-0.0104402607205079	-0.153148600401085
semibin_SRR6000901.38	-0.0333333914997742	-0.150905230583351
semibin_SRR6000901.30	-0.353248313617961	-0.112876990379494
semibin_SRR6000901.29	-0.353248313617961	-0.112876990379494
semibin_SRR6000900.32	0.566832392859204	-0.0995835452691725
semibin_SRR6000900.19	-0.189669490409152	-0.130932548584144
semibin_SRR6000900.14	0.292153804945691	-0.200806328596275
semibin_SRR6000896.44	-0.353248313617961	-0.112876990379494
semibin_SRR6000894.27	-0.0894729798557923	0.224945744930107
semibin_SRR6000893.60_sub	-0.114518493962543	0.191741368232567
semibin_SRR6000892.71	0.294865279841168	0.0391447753294298
semibin_SRR6000891.14	-0.353248313617961	-0.112876990379494
semibin_SRR5930536.9	-0.353248313617961	-0.112876990379494
semibin_SRR5930536.88	-0.0264634793522522	0.00695790952285019
semibin_SRR5930536.78	-0.254036009860294	0.0104006738050768
semibin_SRR5930536.22	-0.0566489403965638	-0.146986553014915
semibin_SRR5930534.80	0.933247416662915	1.78112246697982
semibin_SRR5930533.9	0.593642323660596	0.438315710483391
semibin_SRR5930533.15	-0.304077819538371	-0.0533903628007582
semibin_SRR5930532.36	-0.0925703352215455	-0.143065550865333
semibin_SRR5930531.66	-0.151261777234332	0.143006703315575
semibin_SRR5930529.60	-0.0117164259674714	-0.153851368965309
semibin_SRR5930529.59	-0.144349605393665	0.15248831218322
semibin_SRR5930529.122	-0.353248313617961	-0.112876990379494
semibin_SRR5930528.277	-0.353248313617961	-0.112876990379494
semibin_SRR5930528.176	3.08850285356019	-1.19675741487901
semibin_SRR5930527.83_sub	-0.0648027365925476	-0.145922848524254
semibin_SRR5930527.76	0.998753159689648	-0.351311305107277
semibin_SRR5930527.26	-0.353248313617961	-0.112876990379494
semibin_SRR5930527.114	-0.0848450666191742	0.0317167848928758
semibin_SRR5930527.100	-0.0612487202408478	-0.14716846639077
semibin_SRR5930526.142	-0.353248313617961	-0.112876990379494
semibin_SRR5930523.22	0.213541060137494	0.0375916571005174
semibin_SRR5930520.79_sub	-0.353248313617961	-0.112876990379494
semibin_SRR5930520.204	0.479510038542493	-0.23432318264405
semibin_SRR5930520.180	-0.0438864832642243	-0.149483570398491
semibin_SRR5930520.142	-0.182179689955966	0.103123089729149
semibin_SRR5930519.63	-0.299849510741489	-0.118550816120308
semibin_SRR5930519.20	-0.227134675336139	-0.127340951503914
semibin_SRR5930518.8	-0.29100030715491	-0.0366560905591658
semibin_SRR5930517.66	0.0206271702525451	-0.159034022630852
semibin_SRR5930517.113	-0.222036511254565	-0.127944746555488
semibin_SRR5930516.87	-0.353248313617961	-0.112876990379494
semibin_SRR5930516.224	-0.0104550426724122	0.331291994510491
semibin_SRR5930515.39_sub	0.303046076941235	-0.202289232553642
semibin_SRR5930514.44	-0.353248313617961	-0.112876990379494
semibin_SRR5930511.52	4.51099297349428	-1.81776116186539
semibin_SRR5930507.29	-0.353248313617961	-0.112876990379494
semibin_SRR5930505.26	-0.214800686192767	0.0608622044905016
semibin_SRR5930504.70	-0.243721366477267	-0.124436715187233
semibin_SRR5930504.145	-0.353248313617961	-0.112876990379494
semibin_SRR5930504.107	-0.267602190923946	-0.122587123455208
semibin_SRR5930503.199	-0.316873238039272	-0.0700897961274794
semibin_SRR5930502.51	0.0339227611300781	-0.159278044046562
semibin_SRR5930502.48	-0.0710800295593903	0.247729680000145
semibin_SRR5930502.40	0.131014257120831	-0.17538730198304
semibin_SRR5930501.70	-0.156207800460117	0.13657273953994
semibin_SRR5930501.2	0.532571046995862	0.0877049178465196
semibin_SRR5930499.112	2.63787361924623	-0.649661505164306
semibin_SRR5930498.73	-0.319344968152301	-0.0733585446492842
semibin_SRR5930498.111	-0.222411126446979	0.0508696646078416
semibin_SRR5930495.69	-0.353248313617961	-0.112876990379494
semibin_SRR5930495.44	1.85594937150453	-0.624737077893417
semibin_SRR5930495.29	-0.267284274649875	-0.122103580774467
semibin_SRR5930494.98	-0.22685521895911	-0.126294472755592
semibin_SRR5930494.69	-0.0399708753349945	-0.150153228582542
semibin_SRR5930494.42	0.284937828230603	0.732301494537194
semibin_SRR5930494.234	0.395331829237683	-0.218837836326759
semibin_SRR5930494.170	0.153977780985577	-0.178019323887031
semibin_SRR5930493.36_sub	-0.16766759808089	-0.133114913047951
semibin_SRR25825518.7	0.271854847120984	-0.196681478561561
semibin_SRR25825517.45	0.323758989023907	-0.205461779178779
semibin_SRR25825514.3_sub	-0.165920377326267	0.123214623390038
semibin_SRR25825510.79	-0.0316560869934723	-0.151132145466011
semibin_SRR25825509.21	-0.10741204078223	-0.141154059709709
semibin_SRR25825508.4_sub	-0.140828520608203	0.157105705200035
semibin_SRR25825507.51_sub	-0.092942506623523	0.219138106761772
semibin_SRR25825502.47_sub	-0.308757469606654	-0.0594515889302901
semibin_SRR25825502.37	0.295191376852734	0.766478559432823
semibin_SRR25825501.29	-0.018753201318042	0.320008894859154
semibin_SRR25825500.94	-0.353248313617961	-0.112876990379494
semibin_SRR25825500.66	0.00189909284089351	0.348139724193413
semibin_SRR25825500.32	-0.0508090859177277	0.2766762585028
semibin_SRR25825500.25	-0.353248313617961	-0.112876990379494
semibin_SRR25825500.13	-0.353248313617961	-0.112876990379494
semibin_SRR25825497.63	-0.353248313617961	-0.112876990379494
semibin_SRR23364235.6	-0.265767902684467	-0.122033455909889
semibin_SRR23364231.4	-0.353248313617961	-0.112876990379494
semibin_SRR23364229.5	-0.353248313617961	-0.112876990379494
semibin_SRR23364216.26	-0.0233940785648987	-0.152993687929314
semibin_SRR23364212.64	-0.353248313617961	-0.112876990379494
semibin_SRR23364206.58	-0.288798377466457	-0.0338556259290388
semibin_SRR23364199.80	-0.353248313617961	-0.112876990379494
semibin_SRR23364199.41	-0.15838900263335	0.133736750541527
semibin_SRR23364196.21	-0.353248313617961	-0.112876990379494
semibin_SRR23364195.41	0.806368797468884	-0.302627214731376
semibin_SRR23364193.36	0.463228254961713	0.110839507041771
semibin_SRR23364183.27	0.334396510767682	0.0539021701200792
semibin_SRR23364178.53_sub	-0.353248313617961	-0.112876990379494
semibin_SRR23364176.76	-0.07790610249068	-0.144227960647743
semibin_SRR23364174.31	-0.26761959548022	-0.00693792992989334
semibin_SRR23364171.89	-0.202758312773959	-0.129636952222984
semibin_SRR23364171.81	-0.30949233527209	-0.0604081540719679
semibin_SRR23364171.72	0.284909039187176	0.0721718282087633
semibin_SRR20881988.7	1.11610254590486	-0.382773452939194
semibin_SRR20881988.10	-0.353248313617961	-0.112876990379494
