featureid	Intercept	response[T.R]
semibin_SRR8387712.8_sub	-0.486534897555602	-0.497352455708778
semibin_SRR8387712.32	-0.321234051455748	0.00808545484801559
semibin_SRR8387707.23	-0.023307357301009	0.000410224344933319
semibin_SRR8387707.12	-0.548607990463269	-0.216253702494895
semibin_SRR8387691.37	0.0122737844092724	-0.337066595408714
semibin_SRR8387683.51	0.00911482764314386	0.0435925377871635
semibin_SRR8387683.34_sub	-0.37213439898659	0.0440317048098686
semibin_SRR8387683.30	-0.182827715148223	0.0436957134272697
semibin_SRR8387683.16	0.2355674464805	0.0121832145716789
semibin_SRR8387681.3	-0.152870599498046	0.0512625826861504
semibin_SRR8387677.66	-0.118508968819869	-0.104836438748634
semibin_SRR8387676.49	-0.102981660832656	0.0346207274462822
semibin_SRR8387659.60	-0.466206835900438	-0.0853509353134987
semibin_SRR6000947.67	0.333833511601197	1.17511775627395
semibin_SRR6000946.68	-0.293991331328643	0.0162281049754265
semibin_SRR6000946.20_sub	-0.217329655160201	-0.281831596944129
semibin_SRR6000945.4	1.3053442795379	-0.116191749427116
semibin_SRR6000944.44	-0.162556741704238	-0.227165137383735
semibin_SRR6000944.13	-0.339447353352797	-0.0030103670094368
semibin_SRR6000932.54	-0.315753568281424	0.00267359152098923
semibin_SRR6000932.49_sub	0.256992455254304	-0.311691914651191
semibin_SRR6000921.66	-0.428087231089366	-0.23944637641648
semibin_SRR6000920.93	-0.274003524650824	-0.165060107562339
semibin_SRR6000920.16	-0.502509149109018	-0.222628866288459
semibin_SRR6000911.2	-0.272128153909934	-0.209516202065742
semibin_SRR6000910.14	2.0001274902923	0.489647711661065
semibin_SRR6000909.45	-0.361020837296737	-0.0498139010403511
semibin_SRR6000909.33	-0.261902232040656	-0.0300758527253029
semibin_SRR6000908.42_sub	0.0173201520545361	0.137060369398797
semibin_SRR6000907.58	-0.35202849315573	-0.204163794371879
semibin_SRR6000905.60_sub	0.565897520313966	0.903397942927087
semibin_SRR6000905.32	0.511439796219575	0.108732963946069
semibin_SRR6000903.20	-0.351803679336798	-0.205662553164756
semibin_SRR6000903.16	-0.0825885872738483	0.084799374487603
semibin_SRR6000903.13	1.83167236639093	0.480310942080224
semibin_SRR6000902.21	-0.432614840884698	-0.134237592074668
semibin_SRR6000901.38	-0.552952174414885	-0.198279385421073
semibin_SRR6000901.30	0.124218698273408	0.0193135394122246
semibin_SRR6000901.29	-0.157307003011	-0.210010533187186
semibin_SRR6000900.6	-0.517431173791182	-0.152316723916328
semibin_SRR6000900.32	1.70376985860895	0.270821715738976
semibin_SRR6000900.14	1.13812642885278	0.0291131986643913
semibin_SRR6000899.37	0.414124842415559	0.583275343325341
semibin_SRR6000896.44	-0.180863563288939	-0.224206690642631
semibin_SRR6000896.39	-0.463444840480578	-0.140088920447623
semibin_SRR6000894.27	-0.201269332637084	0.080809260752404
semibin_SRR6000893.60_sub	-0.224964175690902	0.00748499765654831
semibin_SRR6000892.94	-0.240581099261534	-0.276354481432235
semibin_SRR6000892.71	1.3557217676742	0.998903538134301
semibin_SRR6000891.14	-0.160168920029891	-0.154151354882514
semibin_SRR5930536.9	0.727007802258241	0.199363495257104
semibin_SRR5930536.88	0.733126457463014	1.01071503296157
semibin_SRR5930536.78	-0.410520736445678	-0.0112223671410439
semibin_SRR5930536.76	-0.0418906550305012	0.532888199236596
semibin_SRR5930536.61_sub	0.278956409226167	0.015141810324395
semibin_SRR5930536.22	-0.251311082710517	0.215350116636956
semibin_SRR5930534.80	1.58588140798639	0.1406990541484
semibin_SRR5930534.11	0.573080952893007	0.774827028658593
semibin_SRR5930533.9	2.39528268171381	-0.471305794048702
semibin_SRR5930533.64	0.168313618431794	0.877416755106652
semibin_SRR5930533.32_sub	0.143001015911805	0.836247946169579
semibin_SRR5930533.29	0.904261644612062	0.741568352129662
semibin_SRR5930533.25	-0.326316479911101	0.109256471541131
semibin_SRR5930533.15	-0.184744719733489	0.198393608477319
semibin_SRR5930532.79	0.39211874795984	-0.427678842994964
semibin_SRR5930532.72	-0.116646323670638	-0.148867254111564
semibin_SRR5930532.57	0.848826821575868	-0.60344182417134
semibin_SRR5930532.36	-0.453876614888203	-0.232845668647086
semibin_SRR5930532.161	-0.316404167880309	-0.132514332387244
semibin_SRR5930532.139	-0.00463122533727911	-0.332576920244491
semibin_SRR5930532.101_sub	1.06286614728998	-0.688572903129852
semibin_SRR5930532.10	-0.475563480836344	-0.228747134063041
semibin_SRR5930531.66	1.06509083105158	0.119706238653863
semibin_SRR5930531.50	0.589118059406984	0.667519236948693
semibin_SRR5930531.21	0.10391336275171	0.776850129511559
semibin_SRR5930531.137	-0.505301926602614	-0.22306836113671
semibin_SRR5930530.132	0.206761654148805	0.103498901274407
semibin_SRR5930530.129_sub	-0.424042012860072	-0.0284961806271431
semibin_SRR5930530.103	-0.37204777108599	-0.115571414086616
semibin_SRR5930529.84	-0.306698058118117	-0.116070573184287
semibin_SRR5930529.60	-0.122999135722411	0.305995310690606
semibin_SRR5930529.59	0.0671940405471203	0.0969522847201469
semibin_SRR5930529.29	0.982938702831971	0.570790554430688
semibin_SRR5930529.25	0.268860216866243	-0.0461463974449989
semibin_SRR5930529.2	0.988804395924318	0.981418157961572
semibin_SRR5930529.122	0.723702128658998	1.18375995292922
semibin_SRR5930528.96_sub	-0.373931218256247	-0.245927874896323
semibin_SRR5930528.83_sub	-0.0134481232063892	-0.267421548220908
semibin_SRR5930528.78	-0.29887123810221	-0.211866860244071
semibin_SRR5930528.71	-0.254057023991835	-0.144395117614066
semibin_SRR5930528.70_sub	-0.1591720025437	-0.269016508910453
semibin_SRR5930528.6	-0.237464834322226	-0.255251710269248
semibin_SRR5930528.37	2.08274095846246	0.394967223551476
semibin_SRR5930528.277	0.554755504856813	0.0745938076045158
semibin_SRR5930528.184	-0.26629244195391	-0.267696087214744
semibin_SRR5930528.176	1.09293812109064	-0.690780897590911
semibin_SRR5930528.150	-0.0767403285400989	-0.310325403663909
semibin_SRR5930528.15	-0.207065169085753	-0.0224018739197609
semibin_SRR5930527.97	-0.197784368266356	0.299273456480706
semibin_SRR5930527.83_sub	-0.272359360327018	0.197459782507623
semibin_SRR5930527.76	-0.368762087394488	0.0481246365573051
semibin_SRR5930527.64	-0.420515921284449	-0.119352762553489
semibin_SRR5930527.26	-0.50401034051646	-0.137684439275062
semibin_SRR5930527.114	-0.305694613923323	-0.0383475469086525
semibin_SRR5930527.102_sub	0.331256802807557	0.309851969626153
semibin_SRR5930527.100	0.180422957669008	0.408047462847436
semibin_SRR5930526.99	-0.0734610597984913	-0.315739576670921
semibin_SRR5930526.86	-0.381178234090102	-0.21805698141793
semibin_SRR5930526.3	0.259519632588136	-0.3787345857952
semibin_SRR5930526.142	1.35451393915247	-0.812517409179008
semibin_SRR5930523.43	0.542346890698182	0.849057461168969
semibin_SRR5930523.22	1.49517660928797	1.32025661602279
